Celta Vigo,2-1,Valencia
Atletico Madrid,0-0,Barcelona
Elche,1-1,Sevilla FC
Granada,4-0,Real Valladolid
Real Madrid,3-0,Celta Vigo
Rayo Vallecano,2-5,Villarreal
Sevilla FC,3-0,Getafe
Barcelona,4-0,Elche
Osasuna,1-0,Espanyol
Real Sociedad,2-0,Athletic Bilbao
Malaga,0-1,Atletico Madrid
Real Valladolid,0-0,Real Betis
Valencia,2-0,Levante
Almeria,3-0,Granada
Real Sociedad,4-0,Elche
Almeria,1-0,Getafe
Osasuna,1-5,Athletic Bilbao
Rayo Vallecano,2-4,Atletico Madrid
Barcelona,3-0,Malaga
Real Madrid,2-0,Granada
Real Valladolid,1-0,Villarreal
Valencia,2-2,Espanyol
Sevilla FC,2-3,Levante
Celta Vigo,4-2,Real Betis
Athletic Bilbao,4-2,Real Valladolid
Getafe,2-2,Real Sociedad
Villarreal,2-0,Almeria
Levante,1-1,Barcelona
Atletico Madrid,1-1,Sevilla FC
Real Betis,0-5,Real Madrid
Elche,2-0,Rayo Vallecano
Granada,0-0,Osasuna
Espanyol,1-0,Celta Vigo
Malaga,0-0,Valencia
Villarreal,3-1,Osasuna
Elche,1-0,Almeria
Real Betis,2-0,Espanyol
Atletico Madrid,4-0,Real Sociedad
Athletic Bilbao,1-1,Real Madrid
Barcelona,2-3,Valencia
Levante,0-0,Rayo Vallecano
Getafe,0-0,Real Valladolid
Malaga,3-2,Sevilla FC
Granada,1-2,Celta Vigo
Malaga,0-1,Real Sociedad
Granada,1-0,Real Betis
Getafe,0-3,Real Madrid
Athletic Bilbao,1-2,Espanyol
Sevilla FC,0-0,Valencia
Atletico Madrid,3-0,Real Valladolid
Levante,1-0,Almeria
Barcelona,6-0,Rayo Vallecano
Villarreal,0-2,Celta Vigo
Elche,0-0,Osasuna
Celta Vigo,0-0,Athletic Bilbao
Osasuna,2-0,Getafe
Real Valladolid,2-2,Elche
Real Sociedad,0-0,Levante
Sevilla FC,1-4,Barcelona
Valencia,5-0,Real Betis
Rayo Vallecano,4-1,Malaga
Real Madrid,4-2,Villarreal
Almeria,2-0,Atletico Madrid
Espanyol,1-0,Granada
Villarreal,1-1,Real Betis
Atletico Madrid,2-2,Real Madrid
Sevilla FC,1-0,Real Sociedad
Barcelona,4-1,Almeria
Rayo Vallecano,1-0,Valencia
Malaga,1-1,Real Valladolid
Levante,2-0,Osasuna
Getafe,0-0,Espanyol
Elche,1-0,Celta Vigo
Athletic Bilbao,4-0,Granada
Espanyol,1-2,Villarreal
Rayo Vallecano,0-1,Sevilla FC
Real Betis,0-2,Athletic Bilbao
Valencia,2-1,Granada
Osasuna,3-0,Atletico Madrid
Real Madrid,3-0,Elche
Celta Vigo,1-1,Getafe
Real Sociedad,3-1,Barcelona
Almeria,0-0,Malaga
Real Valladolid,1-1,Levante
